dates,producto,precio_mean
2014-02-24,PAPA PERUANITA (INJERTO),1.38
2014-02-25,PAPA AMARILLA,1.6
2014-02-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2014-02-25,PAPA HUAMANTANGA,1.24
2014-02-25,PAPA PERUANITA (INJERTO),1.5
2014-02-26,PAPA AMARILLA,1.76
2014-02-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-02-26,PAPA HUAMANTANGA,1.29
2014-02-26,PAPA PERUANITA (INJERTO),1.48
2014-02-27,PAPA AMARILLA,1.75
2014-02-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-02-27,PAPA HUAMANTANGA,1.28
2014-02-27,PAPA PERUANITA (INJERTO),1.44
2014-02-28,PAPA AMARILLA,1.65
2014-02-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.14
2014-02-28,PAPA HUAMANTANGA,1.29
2014-02-28,PAPA PERUANITA (INJERTO),1.29
2014-03-01,PAPA AMARILLA,1.8
2014-03-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.11
2014-03-01,PAPA HUAMANTANGA,1.28
2014-03-01,PAPA PERUANITA (INJERTO),1.5
2014-03-02,PAPA AMARILLA,1.7
2014-03-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2014-03-02,PAPA HUAMANTANGA,1.27
2014-03-02,PAPA PERUANITA (INJERTO),1.43
2014-03-03,PAPA AMARILLA,1.6
2014-03-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2014-03-03,PAPA HUAMANTANGA,1.26
2014-03-03,PAPA PERUANITA (INJERTO),1.35
2014-03-04,PAPA AMARILLA,1.68
2014-03-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2014-03-04,PAPA HUAMANTANGA,1.28
2014-03-04,PAPA PERUANITA (INJERTO),1.38
2014-03-05,PAPA AMARILLA,1.78
2014-03-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2014-03-05,PAPA HUAMANTANGA,1.26
2014-03-05,PAPA PERUANITA (INJERTO),1.46
2014-03-06,PAPA AMARILLA,1.83
2014-03-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.23
2014-03-06,PAPA HUAMANTANGA,1.26
2014-03-06,PAPA PERUANITA (INJERTO),1.5
2014-03-07,PAPA AMARILLA,1.8
