date,cantidad (TM)
2022-07-07,783
2022-07-08,666
2022-07-09,609
2022-07-10,206
2022-07-11,368
2022-07-12,504
2022-07-13,392
2022-07-14,699
2022-07-15,518
2022-07-16,732
2022-07-17,614
2022-07-18,602
2022-07-19,485
2022-07-20,327
2022-07-21,817
2022-07-22,386
2022-07-23,828
2022-07-24,522
2022-07-25,302
2022-07-26,370
2022-07-27,404
2022-07-28,293
2022-07-29,604
2022-07-30,722
2022-07-31,374
2022-08-01,205
2022-08-02,493
2022-08-03,298
2022-08-04,722
2022-08-05,522
2022-08-06,512
2022-08-07,595
2022-08-08,181
2022-08-09,564
2022-08-10,488
2022-08-11,667
2022-08-12,725
2022-08-13,597
2022-08-14,541
2022-08-15,135
2022-08-16,702
2022-08-17,399
2022-08-18,764
2022-08-19,357
2022-08-20,593
2022-08-21,491
2022-08-22,85
2022-08-23,484
2022-08-24,435
2022-08-25,582
2022-08-26,405
2022-08-27,370
2022-08-28,365
2022-08-29,47
2022-08-30,599
2022-08-31,0
