dates,producto,precio_mean
2019-01-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.0
2019-01-11,PAPA HUAMANTANGA,2.3
2019-01-11,PAPA PERUANITA (INJERTO),2.65
2019-01-12,PAPA AMARILLA,2.63
2019-01-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.1
2019-01-12,PAPA HUAMANTANGA,2.3
2019-01-12,PAPA PERUANITA (INJERTO),2.6
2019-01-13,PAPA AMARILLA,2.63
2019-01-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.1
2019-01-13,PAPA HUAMANTANGA,2.3
2019-01-13,PAPA PERUANITA (INJERTO),2.6
2019-01-14,PAPA AMARILLA,2.53
2019-01-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.9
2019-01-14,PAPA HUAMANTANGA,2.2
2019-01-14,PAPA PERUANITA (INJERTO),2.5
2019-01-15,PAPA AMARILLA,2.38
2019-01-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.78
2019-01-15,PAPA HUAMANTANGA,2.08
2019-01-15,PAPA PERUANITA (INJERTO),2.28
2019-01-16,PAPA AMARILLA,2.4
2019-01-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2019-01-16,PAPA HUAMANTANGA,2.23
2019-01-16,PAPA PERUANITA (INJERTO),2.25
2019-01-17,PAPA AMARILLA,2.15
2019-01-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2019-01-17,PAPA HUAMANTANGA,2.23
2019-01-17,PAPA PERUANITA (INJERTO),2.03
2019-01-18,PAPA AMARILLA,2.1
2019-01-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2019-01-18,PAPA HUAMANTANGA,2.0
2019-01-18,PAPA PERUANITA (INJERTO),2.0
2019-01-19,PAPA AMARILLA,2.3
2019-01-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.4
2019-01-19,PAPA HUAMANTANGA,1.9
2019-01-19,PAPA PERUANITA (INJERTO),2.1
2019-01-20,PAPA AMARILLA,2.3
2019-01-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2019-01-20,PAPA HUAMANTANGA,1.9
2019-01-20,PAPA PERUANITA (INJERTO),2.1
2019-01-21,PAPA AMARILLA,2.35
2019-01-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2019-01-21,PAPA HUAMANTANGA,1.8
2019-01-21,PAPA PERUANITA (INJERTO),2.2
2019-01-22,PAPA AMARILLA,2.35
2019-01-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
