dates,producto,precio_mean
2014-02-03,PAPA NEGRA ANDINA,0.53
2014-02-03,PAPA YUNGAY,0.56
2014-02-03,PAPA UNICA,0.77
2014-02-03,PAPA CANCHAN,0.58
2014-02-04,PAPA BLANCA/VALLE/OTROS,0.61
2014-02-04,PAPA COLOR/VALLE/OTROS,0.7
2014-02-04,PAPA NEGRA ANDINA,0.61
2014-02-04,PAPA YUNGAY,0.55
2014-02-04,PAPA UNICA,0.73
2014-02-04,PAPA CANCHAN,0.68
2014-02-05,PAPA BLANCA/VALLE/OTROS,0.56
2014-02-05,PAPA COLOR/VALLE/OTROS,0.71
2014-02-05,PAPA NEGRA ANDINA,0.63
2014-02-05,PAPA YUNGAY,0.53
2014-02-05,PAPA UNICA,0.75
2014-02-05,PAPA CANCHAN,0.68
2014-02-06,PAPA BLANCA/VALLE/OTROS,0.65
2014-02-06,PAPA COLOR/VALLE/OTROS,0.73
2014-02-06,PAPA NEGRA ANDINA,0.58
2014-02-06,PAPA YUNGAY,0.51
2014-02-06,PAPA UNICA,0.74
2014-02-06,PAPA CANCHAN,0.69
2014-02-07,PAPA BLANCA/VALLE/OTROS,0.68
2014-02-07,PAPA COLOR/VALLE/OTROS,0.71
2014-02-07,PAPA NEGRA ANDINA,0.53
2014-02-07,PAPA YUNGAY,0.53
2014-02-07,PAPA UNICA,0.73
2014-02-07,PAPA CANCHAN,0.7
2014-02-08,PAPA BLANCA/VALLE/OTROS,0.67
2014-02-08,PAPA COLOR/VALLE/OTROS,0.68
2014-02-08,PAPA NEGRA ANDINA,0.63
2014-02-08,PAPA YUNGAY,0.5
2014-02-08,PAPA UNICA,0.68
2014-02-08,PAPA CANCHAN,0.68
2014-02-09,PAPA BLANCA/VALLE/OTROS,0.65
2014-02-09,PAPA COLOR/VALLE/OTROS,0.69
2014-02-09,PAPA NEGRA ANDINA,0.63
2014-02-09,PAPA YUNGAY,0.5
2014-02-09,PAPA UNICA,0.7
2014-02-09,PAPA CANCHAN,0.67
2014-02-10,PAPA BLANCA/VALLE/OTROS,0.63
2014-02-10,PAPA COLOR/VALLE/OTROS,0.69
2014-02-10,PAPA NEGRA ANDINA,0.61
2014-02-10,PAPA YUNGAY,0.5
2014-02-10,PAPA UNICA,0.71
2014-02-10,PAPA CANCHAN,0.66
2014-02-11,PAPA BLANCA/VALLE/OTROS,0.61
2014-02-11,PAPA COLOR/VALLE/OTROS,0.68
2014-02-11,PAPA NEGRA ANDINA,0.61
2014-02-11,PAPA YUNGAY,0.53
2014-02-11,PAPA UNICA,0.68
2014-02-11,PAPA CANCHAN,0.67
