producto,year,month,day,precio_min,precio_max,precio_mean
PAPA CANCHAN,2022,5,24,1.45,1.7,1.56
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,25,1.7,2.5,2.1
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,25,1.8,2.4,2.03
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,25,1.5,2.0,1.75
PAPA AMARILLA,2022,5,25,2.0,2.5,2.25
PAPA BLANCA/VALLE/OTROS,2022,5,25,1.5,1.8,1.6
PAPA COLOR/VALLE/OTROS,2022,5,25,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,25,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,25,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,25,1.5,1.8,1.65
PAPA PERUANITA (INJERTO),2022,5,25,1.6,2.1,1.88
PAPA YUNGAY,2022,5,25,1.5,1.8,1.65
PAPA UNICA,2022,5,25,1.45,1.8,1.59
PAPA CANCHAN,2022,5,25,1.4,1.8,1.58
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,26,1.7,2.5,2.1
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,26,1.8,2.4,2.03
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,26,1.5,2.0,1.75
PAPA AMARILLA,2022,5,26,2.0,2.4,2.23
PAPA BLANCA/VALLE/OTROS,2022,5,26,1.5,1.8,1.6
PAPA COLOR/VALLE/OTROS,2022,5,26,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,26,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,26,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,26,1.5,1.8,1.65
PAPA PERUANITA (INJERTO),2022,5,26,1.6,2.1,1.88
PAPA YUNGAY,2022,5,26,1.5,1.8,1.65
PAPA UNICA,2022,5,26,1.4,1.8,1.58
PAPA CANCHAN,2022,5,26,1.4,1.8,1.58
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,27,1.8,2.6,2.15
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,27,1.8,2.5,2.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,27,1.5,2.0,1.75
PAPA AMARILLA,2022,5,27,2.0,2.5,2.23
PAPA BLANCA/VALLE/OTROS,2022,5,27,1.5,1.8,1.6
PAPA COLOR/VALLE/OTROS,2022,5,27,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,27,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,27,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,27,1.5,1.8,1.63
PAPA PERUANITA (INJERTO),2022,5,27,1.6,2.1,1.88
PAPA YUNGAY,2022,5,27,1.5,1.8,1.65
PAPA UNICA,2022,5,27,1.5,1.8,1.65
PAPA CANCHAN,2022,5,27,1.4,1.8,1.58
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,28,1.8,2.6,2.15
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,28,1.8,2.5,2.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,28,1.5,2.0,1.75
PAPA AMARILLA,2022,5,28,2.0,2.5,2.23
PAPA BLANCA/VALLE/OTROS,2022,5,28,1.5,1.8,1.6
PAPA COLOR/VALLE/OTROS,2022,5,28,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,28,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,28,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,28,1.4,1.8,1.58
PAPA PERUANITA (INJERTO),2022,5,28,1.6,2.1,1.88
PAPA YUNGAY,2022,5,28,1.5,1.8,1.63
PAPA UNICA,2022,5,28,1.5,1.8,1.65
PAPA CANCHAN,2022,5,28,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,29,1.8,2.6,2.15
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,29,1.8,2.5,2.05
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,29,1.5,2.0,1.75
PAPA AMARILLA,2022,5,29,2.0,2.5,2.23
PAPA BLANCA/VALLE/OTROS,2022,5,29,1.5,1.8,1.6
PAPA COLOR/VALLE/OTROS,2022,5,29,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,29,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,29,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,29,1.4,1.8,1.58
PAPA PERUANITA (INJERTO),2022,5,29,1.6,2.1,1.88
PAPA YUNGAY,2022,5,29,1.5,1.8,1.63
PAPA UNICA,2022,5,29,1.5,1.8,1.65
PAPA CANCHAN,2022,5,29,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,30,1.8,2.6,2.15
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,30,1.9,2.5,2.18
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,30,1.0,2.0,1.63
PAPA AMARILLA,2022,5,30,2.0,2.5,2.23
PAPA BLANCA/VALLE/OTROS,2022,5,30,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,30,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,30,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,30,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,30,1.35,1.8,1.56
PAPA PERUANITA (INJERTO),2022,5,30,1.7,2.1,1.9
PAPA YUNGAY,2022,5,30,1.4,1.8,1.58
PAPA UNICA,2022,5,30,1.4,1.8,1.63
PAPA CANCHAN,2022,5,30,1.35,1.7,1.51
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,31,1.9,2.7,2.25
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,31,2.0,2.5,2.23
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,31,1.0,2.0,1.63
PAPA AMARILLA,2022,5,31,2.1,2.6,2.3
PAPA BLANCA/VALLE/OTROS,2022,5,31,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,31,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,31,1.7,2.2,1.93
PAPA HUAMANTANGA,2022,5,31,1.5,1.8,1.65
PAPA NEGRA ANDINA,2022,5,31,1.4,1.8,1.58
PAPA PERUANITA (INJERTO),2022,5,31,1.7,2.1,1.9
PAPA YUNGAY,2022,5,31,1.4,1.7,1.55
PAPA UNICA,2022,5,31,1.4,1.8,1.63
PAPA CANCHAN,2022,5,31,1.3,1.7,1.5
CEBOLLA CABEZA BLANCA NACIONAL,2022,6,1,1.9,2.7,2.25
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,6,1,2.0,2.5,2.23
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,6,1,1.5,2.5,2.0
PAPA AMARILLA,2022,6,1,2.1,2.6,2.3
PAPA BLANCA/VALLE/OTROS,2022,6,1,1.4,1.8,1.58
