producto,year,month,day,precio_min,precio_max,precio_mean,date
PAPA COLOR/VALLE/OTROS,2022,6,2,1.5,1.8,1.65,2022-06-02
PAPA NEGRA ANDINA,2022,6,2,1.4,1.7,1.55,2022-06-02
PAPA YUNGAY,2022,6,2,1.3,1.6,1.45,2022-06-02
PAPA UNICA,2022,6,2,1.4,1.7,1.55,2022-06-02
PAPA CANCHAN,2022,6,2,1.3,1.6,1.45,2022-06-02
PAPA BLANCA/VALLE/OTROS,2022,6,3,1.4,1.6,1.53,2022-06-03
PAPA COLOR/VALLE/OTROS,2022,6,3,1.5,1.8,1.65,2022-06-03
PAPA NEGRA ANDINA,2022,6,3,1.4,1.6,1.5,2022-06-03
PAPA YUNGAY,2022,6,3,1.3,1.6,1.45,2022-06-03
PAPA UNICA,2022,6,3,1.4,1.7,1.55,2022-06-03
PAPA CANCHAN,2022,6,3,1.3,1.6,1.45,2022-06-03
PAPA BLANCA/VALLE/OTROS,2022,6,4,1.4,1.6,1.53,2022-06-04
PAPA COLOR/VALLE/OTROS,2022,6,4,1.5,1.8,1.65,2022-06-04
PAPA NEGRA ANDINA,2022,6,4,1.4,1.6,1.5,2022-06-04
PAPA YUNGAY,2022,6,4,1.3,1.6,1.45,2022-06-04
PAPA UNICA,2022,6,4,1.4,1.7,1.55,2022-06-04
PAPA CANCHAN,2022,6,4,1.3,1.6,1.45,2022-06-04
PAPA BLANCA/VALLE/OTROS,2022,6,5,1.4,1.6,1.53,2022-06-05
PAPA COLOR/VALLE/OTROS,2022,6,5,1.5,1.8,1.65,2022-06-05
PAPA NEGRA ANDINA,2022,6,5,1.4,1.6,1.5,2022-06-05
PAPA YUNGAY,2022,6,5,1.3,1.6,1.45,2022-06-05
PAPA UNICA,2022,6,5,1.4,1.7,1.55,2022-06-05
PAPA CANCHAN,2022,6,5,1.3,1.6,1.45,2022-06-05
PAPA BLANCA/VALLE/OTROS,2022,6,6,1.3,1.6,1.45,2022-06-06
PAPA COLOR/VALLE/OTROS,2022,6,6,1.5,1.8,1.65,2022-06-06
PAPA NEGRA ANDINA,2022,6,6,1.3,1.6,1.45,2022-06-06
PAPA YUNGAY,2022,6,6,1.2,1.5,1.35,2022-06-06
PAPA UNICA,2022,6,6,1.3,1.6,1.48,2022-06-06
PAPA CANCHAN,2022,6,6,1.2,1.5,1.35,2022-06-06
PAPA BLANCA/VALLE/OTROS,2022,6,7,1.3,1.5,1.4,2022-06-07
PAPA COLOR/VALLE/OTROS,2022,6,7,1.4,1.8,1.6,2022-06-07
PAPA NEGRA ANDINA,2022,6,7,1.3,1.6,1.45,2022-06-07
PAPA YUNGAY,2022,6,7,1.2,1.5,1.35,2022-06-07
PAPA UNICA,2022,6,7,1.3,1.5,1.43,2022-06-07
PAPA CANCHAN,2022,6,7,1.2,1.5,1.35,2022-06-07
PAPA BLANCA/VALLE/OTROS,2022,6,8,1.2,1.5,1.35,2022-06-08
PAPA COLOR/VALLE/OTROS,2022,6,8,1.3,1.7,1.5,2022-06-08
PAPA NEGRA ANDINA,2022,6,8,1.3,1.6,1.45,2022-06-08
PAPA YUNGAY,2022,6,8,1.2,1.5,1.35,2022-06-08
PAPA UNICA,2022,6,8,1.2,1.5,1.35,2022-06-08
PAPA CANCHAN,2022,6,8,1.2,1.5,1.35,2022-06-08
PAPA BLANCA/VALLE/OTROS,2022,6,9,1.2,1.5,1.35,2022-06-09
PAPA COLOR/VALLE/OTROS,2022,6,9,1.3,1.6,1.45,2022-06-09
PAPA NEGRA ANDINA,2022,6,9,1.3,1.6,1.45,2022-06-09
PAPA YUNGAY,2022,6,9,1.2,1.5,1.35,2022-06-09
PAPA UNICA,2022,6,9,1.2,1.5,1.35,2022-06-09
PAPA CANCHAN,2022,6,9,1.2,1.5,1.35,2022-06-09
PAPA BLANCA/VALLE/OTROS,2022,6,10,1.2,1.5,1.35,2022-06-10
PAPA COLOR/VALLE/OTROS,2022,6,10,1.3,1.6,1.45,2022-06-10
PAPA NEGRA ANDINA,2022,6,10,1.3,1.6,1.45,2022-06-10
PAPA YUNGAY,2022,6,10,1.2,1.5,1.35,2022-06-10
PAPA UNICA,2022,6,10,1.2,1.5,1.35,2022-06-10
PAPA CANCHAN,2022,6,10,1.2,1.5,1.35,2022-06-10
PAPA BLANCA/VALLE/OTROS,2022,6,11,1.2,1.6,1.38,2022-06-11
PAPA COLOR/VALLE/OTROS,2022,6,11,1.3,1.7,1.5,2022-06-11
PAPA NEGRA ANDINA,2022,6,11,1.3,1.7,1.48,2022-06-11
PAPA YUNGAY,2022,6,11,1.2,1.6,1.4,2022-06-11
PAPA UNICA,2022,6,11,1.3,1.5,1.38,2022-06-11
PAPA CANCHAN,2022,6,11,1.2,1.6,1.38,2022-06-11
PAPA BLANCA/VALLE/OTROS,2022,6,12,1.2,1.6,1.38,2022-06-12
PAPA COLOR/VALLE/OTROS,2022,6,12,1.3,1.7,1.5,2022-06-12
PAPA NEGRA ANDINA,2022,6,12,1.3,1.7,1.48,2022-06-12
PAPA YUNGAY,2022,6,12,1.2,1.6,1.4,2022-06-12
PAPA UNICA,2022,6,12,1.3,1.5,1.38,2022-06-12
PAPA CANCHAN,2022,6,12,1.2,1.6,1.38,2022-06-12
PAPA BLANCA/VALLE/OTROS,2022,6,13,1.2,1.5,1.35,2022-06-13
PAPA COLOR/VALLE/OTROS,2022,6,13,1.3,1.7,1.5,2022-06-13
PAPA NEGRA ANDINA,2022,6,13,1.3,1.7,1.48,2022-06-13
PAPA YUNGAY,2022,6,13,1.2,1.5,1.35,2022-06-13
PAPA UNICA,2022,6,13,1.3,1.5,1.38,2022-06-13
PAPA CANCHAN,2022,6,13,1.2,1.5,1.35,2022-06-13
PAPA BLANCA/VALLE/OTROS,2022,6,14,1.2,1.5,1.35,2022-06-14
PAPA COLOR/VALLE/OTROS,2022,6,14,1.4,1.7,1.55,2022-06-14
PAPA NEGRA ANDINA,2022,6,14,1.3,1.6,1.45,2022-06-14
PAPA YUNGAY,2022,6,14,1.2,1.5,1.35,2022-06-14
PAPA UNICA,2022,6,14,1.25,1.5,1.36,2022-06-14
PAPA CANCHAN,2022,6,14,1.2,1.5,1.35,2022-06-14
PAPA BLANCA/VALLE/OTROS,2022,6,15,1.2,1.5,1.35,2022-06-15
PAPA COLOR/VALLE/OTROS,2022,6,15,1.4,1.7,1.55,2022-06-15
PAPA NEGRA ANDINA,2022,6,15,1.3,1.6,1.45,2022-06-15
PAPA YUNGAY,2022,6,15,1.2,1.5,1.35,2022-06-15
PAPA UNICA,2022,6,15,1.2,1.5,1.35,2022-06-15
PAPA CANCHAN,2022,6,15,1.2,1.5,1.35,2022-06-15
PAPA BLANCA/VALLE/OTROS,2022,6,16,1.2,1.5,1.35,2022-06-16
PAPA COLOR/VALLE/OTROS,2022,6,16,1.4,1.7,1.55,2022-06-16
PAPA NEGRA ANDINA,2022,6,16,1.3,1.6,1.45,2022-06-16
PAPA YUNGAY,2022,6,16,1.2,1.5,1.35,2022-06-16
PAPA UNICA,2022,6,16,1.2,1.5,1.35,2022-06-16
PAPA CANCHAN,2022,6,16,1.2,1.5,1.35,2022-06-16
PAPA BLANCA/VALLE/OTROS,2022,6,17,1.2,1.5,1.35,2022-06-17
PAPA COLOR/VALLE/OTROS,2022,6,17,1.4,1.7,1.55,2022-06-17
PAPA NEGRA ANDINA,2022,6,17,1.3,1.6,1.45,2022-06-17
PAPA YUNGAY,2022,6,17,1.2,1.5,1.35,2022-06-17
PAPA UNICA,2022,6,17,1.3,1.5,1.38,2022-06-17
PAPA CANCHAN,2022,6,17,1.2,1.6,1.38,2022-06-17
PAPA BLANCA/VALLE/OTROS,2022,6,18,1.2,1.6,1.38,2022-06-18
PAPA COLOR/VALLE/OTROS,2022,6,18,1.4,1.7,1.55,2022-06-18
PAPA NEGRA ANDINA,2022,6,18,1.3,1.6,1.45,2022-06-18
PAPA YUNGAY,2022,6,18,1.3,1.6,1.45,2022-06-18
PAPA UNICA,2022,6,18,1.3,1.6,1.4,2022-06-18
PAPA CANCHAN,2022,6,18,1.2,1.6,1.38,2022-06-18
PAPA BLANCA/VALLE/OTROS,2022,6,19,1.2,1.6,1.38,2022-06-19
PAPA COLOR/VALLE/OTROS,2022,6,19,1.4,1.7,1.55,2022-06-19
PAPA NEGRA ANDINA,2022,6,19,1.3,1.6,1.45,2022-06-19
PAPA YUNGAY,2022,6,19,1.3,1.6,1.45,2022-06-19
PAPA UNICA,2022,6,19,1.3,1.6,1.4,2022-06-19
PAPA CANCHAN,2022,6,19,1.2,1.6,1.38,2022-06-19
PAPA BLANCA/VALLE/OTROS,2022,6,20,1.2,1.6,1.38,2022-06-20
PAPA COLOR/VALLE/OTROS,2022,6,20,1.4,1.7,1.55,2022-06-20
PAPA NEGRA ANDINA,2022,6,20,1.35,1.6,1.46,2022-06-20
PAPA YUNGAY,2022,6,20,1.3,1.6,1.45,2022-06-20
PAPA UNICA,2022,6,20,1.3,1.6,1.45,2022-06-20
PAPA CANCHAN,2022,6,20,1.2,1.6,1.38,2022-06-20
PAPA BLANCA/VALLE/OTROS,2022,6,21,1.2,1.6,1.38,2022-06-21
PAPA COLOR/VALLE/OTROS,2022,6,21,1.4,1.7,1.55,2022-06-21
PAPA NEGRA ANDINA,2022,6,21,1.35,1.6,1.46,2022-06-21
PAPA YUNGAY,2022,6,21,1.3,1.6,1.45,2022-06-21
PAPA UNICA,2022,6,21,1.3,1.6,1.45,2022-06-21
PAPA CANCHAN,2022,6,21,1.2,1.6,1.38,2022-06-21
PAPA BLANCA/VALLE/OTROS,2022,6,22,1.2,1.6,1.38,2022-06-22
PAPA COLOR/VALLE/OTROS,2022,6,22,1.4,1.8,1.58,2022-06-22
PAPA NEGRA ANDINA,2022,6,22,1.3,1.6,1.45,2022-06-22
PAPA YUNGAY,2022,6,22,1.3,1.6,1.45,2022-06-22
PAPA UNICA,2022,6,22,1.3,1.6,1.45,2022-06-22
PAPA CANCHAN,2022,6,22,1.2,1.5,1.35,2022-06-22
PAPA BLANCA/VALLE/OTROS,2022,6,23,1.3,1.6,1.45,2022-06-23
PAPA COLOR/VALLE/OTROS,2022,6,23,1.4,1.8,1.58,2022-06-23
PAPA NEGRA ANDINA,2022,6,23,1.3,1.7,1.48,2022-06-23
PAPA YUNGAY,2022,6,23,1.4,1.6,1.5,2022-06-23
PAPA UNICA,2022,6,23,1.3,1.7,1.48,2022-06-23
PAPA CANCHAN,2022,6,23,1.3,1.5,1.38,2022-06-23
PAPA BLANCA/VALLE/OTROS,2022,6,24,1.3,1.6,1.45,2022-06-24
PAPA COLOR/VALLE/OTROS,2022,6,24,1.4,1.8,1.58,2022-06-24
PAPA NEGRA ANDINA,2022,6,24,1.3,1.7,1.48,2022-06-24
PAPA YUNGAY,2022,6,24,1.4,1.6,1.5,2022-06-24
PAPA UNICA,2022,6,24,1.3,1.7,1.48,2022-06-24
PAPA CANCHAN,2022,6,24,1.3,1.5,1.43,2022-06-24
PAPA BLANCA/VALLE/OTROS,2022,6,25,1.3,1.8,1.6,2022-06-25
PAPA COLOR/VALLE/OTROS,2022,6,25,1.4,2.0,1.68,2022-06-25
PAPA NEGRA ANDINA,2022,6,25,1.4,2.0,1.68,2022-06-25
PAPA YUNGAY,2022,6,25,1.5,2.0,1.73,2022-06-25
PAPA UNICA,2022,6,25,1.4,2.0,1.68,2022-06-25
